"","time","x","y","z"
"33782",1607342467.40109,-1.03174463875415,0.345233916262446,0.14408747127904
"33783",1607342467.41109,-1.01653415552616,0.329034155526157,0.096477466578471
"33784",1607342467.42109,-0.958420970942512,0.328125,0.0794489927356279
"33785",1607342467.43109,-0.897579115025762,0.314238528756441,0.0642385287564406
"33786",1607342467.44109,-0.850210040151322,0.3125,0.0355566934342145
"33787",1607342467.45109,-0.804578705960173,0.325557098013276,-0.0470925880796546
"33788",1607342467.46109,-0.771590401397173,0.36605189790424,-0.176280693712721
"33789",1607342467.4711,-0.753396912570208,0.436140437148958,-0.300949699438333
"33790",1607342467.4811,-0.679120152250099,0.464938307958317,-0.446258079583169
"33791",1607342467.4911,-0.610655143201968,0.457351285800492,-0.586963427795572
"33792",1607342467.5011,-0.560798138069487,0.464108953976838,-0.734839539768376
"33793",1607342467.5111,-0.536305659030776,0.46875,-0.876374068723019
"33794",1607342467.5211,-0.510940800009284,0.458595400004642,-0.992957199967508
"33795",1607342467.5311,-0.461040129044237,0.453125,-1.11890970965047
"33796",1607342467.5411,-0.390873769930606,0.434474507972242,-1.23715172209715
"33797",1607342467.5511,-0.305911432948057,0.386232621965372,-1.31689237803463
"33798",1607342467.56109,-0.248633215935201,0.308399647805603,-1.3522458920324
"33799",1607342467.57109,-0.250537442556747,0.233300114886506,-1.31088767232976
"33800",1607342467.58109,-0.311624228305521,0.21845807610184,-1.17362654338896
"33801",1607342467.59109,-0.395634240240449,0.263382392192359,-0.962095431230562
"33802",1607342467.60109,-0.458011552208323,0.331060920347204,-0.705055686750064
"33803",1607342467.61109,-0.522909848906837,0.400689899271225,-0.4441154029151
"33804",1607342467.62109,-0.620179810615731,0.4375,-0.212765378768538
"33805",1607342467.63109,-0.726651711112658,0.443093101587523,-0.0110077809497285
"33806",1607342467.64109,-0.833124332745376,0.458303476106482,0.15598128495834
"33807",1607342467.65109,-0.925304913428956,0.478277456714478,0.273818641786195
"33808",1607342467.66109,-0.990495610625014,0.526094732750017,0.35856885487502
"33809",1607342467.67109,-1.05474371025391,0.605553065380866,0.449303065380866
"33810",1607342467.68109,-1.06052615928238,0.651184304430571,0.473815695569429
"33811",1607342467.69109,-0.990685054309985,0.671975090516641,0.431290036206656
"33812",1607342467.70109,-0.958505828324088,0.595922929189779,0.392797929189779
"33813",1607342467.71109,-0.995753043331941,0.528974391333612,0.314471348001671
"33814",1607342467.7211,-1.06436142281895,0.515625,0.234375
"33815",1607342467.7311,-1.07378520575129,0.518518196165808,0.237268196165808
"33816",1607342467.7411,-1.03125,0.546875,0.267689137674937
"33817",1607342467.7511,-1.03186721052754,0.543171736834776,0.298726631582612
"33818",1607342467.7611,-1.04748207074224,0.451506144687369,0.34375
"33819",1607342467.7711,-1.09311355486701,0.329822187021306,0.34375
"33820",1607342467.7811,-1.06375400352775,0.238137010583239,0.313754003527746
"33821",1607342467.7911,-1.00416608643179,0.161457608039734,0.195832172863575
"33822",1607342467.8011,-0.886650845962819,0.057069490217467,0.0741508459628194
"33823",1607342467.81109,-0.819983579352922,-0.00814142064707794,-0.0887951567794643
"33824",1607342467.82109,-0.772482129180495,-0.0289642902731682,-0.229428612458514
"33825",1607342467.83109,-0.765625,-0.0183252680685141,-0.301698927725943
"33826",1607342467.84109,-0.778134936291689,-0.015625,-0.350029808875067
"33827",1607342467.85109,-0.78125,0.00856571740240449,-0.407756434804809
"33828",1607342467.86109,-0.757888835379581,0.0506667469306287,-0.445236164620419
"33829",1607342467.87109,-0.75,0.118829927354593,-0.599582811121942
"33830",1607342467.88109,-0.674041401698888,0.108071315013809,-0.743059826629842
"33831",1607342467.89109,-0.59887855103746,0.05200355103746,-0.833433061203175
"33832",1607342467.90109,-0.618212497389004,0.131468743472509,-0.919506246083506
"33833",1607342467.91109,-0.640625,0.235536195051757,-0.895481565937892
"33834",1607342467.92109,-0.640625,0.293202561097315,-0.776642316708056
"33835",1607342467.93109,-0.702070060460474,0.338833597340203,-0.648527073759458
"33836",1607342467.94109,-0.800178998305753,0.384464499152877,-0.551934168078539
"33837",1607342467.95109,-0.851698492549784,0.40625,-0.491779522350648
"33838",1607342467.96109,-0.859375,0.391182375194374,-0.476283812402813
"33839",1607342467.9711,-0.8451360360674,0.3536415541011,-0.4986139639326
"33840",1607342467.9811,-0.808010536820851,0.308010536820851,-0.529034642119433
"33841",1607342467.9911,-0.774959891263984,0.274959891263984,-0.565745326208049
"33842",1607342468.0011,-0.765625,0.277375934156474,-0.617251868312948
"33843",1607342468.0111,-0.760164264494267,0.318717942022931,-0.667171471011465
"33844",1607342468.0211,-0.739907773806485,0.364421113096758,-0.697592226193515
"33845",1607342468.0311,-0.71875,0.370368637724551,-0.728012724550898
"33846",1607342468.0411,-0.727183518230557,0.338291204423608,-0.745783240884722
"33847",1607342468.0511,-0.765207956180662,0.269844032864504,-0.715365054774173
"33848",1607342468.06109,-0.819274810267598,0.247924620535196,-0.639312974331005
"33849",1607342468.07109,-0.840777384185118,0.290929768370236,-0.560289305110709
"33850",1607342468.08109,-0.83068305115232,0.252834744238401,-0.466468641933762
"33851",1607342468.09109,-0.852322970338393,0.181070272246205,-0.357854059323214
"33852",1607342468.10109,-0.911436091512521,0.135438908487479,-0.236170422633277
"33853",1607342468.11109,-0.957066608062944,0.0924361306456854,-0.119744522582741
"33854",1607342468.12109,-1.00089934318936,0.078125,-0.0589026272425558
"33855",1607342468.13109,-1.01465600775194,0.077156007751938,-0.00242248062015504
"33856",1607342468.14109,-0.984165032376355,0.0465250539605914,-0.078125
"33857",1607342468.15109,-0.938534607306148,-0.0295256544897533,-0.078125
"33858",1607342468.16109,-0.967231235204011,-0.0907124704080212,-0.122721852806016
"33859",1607342468.17109,-1.01210233074941,-0.151553107665885,-0.0671968923341147
"33860",1607342468.18109,-1.04369748874344,-0.170286244371722,0.00768122185860837
"33861",1607342468.19109,-1.06049642293499,-0.0765250394550561,0.056489268804976
"33862",1607342468.20109,-1.03608625771712,0.122396195980133,0.0228793865756858
"33863",1607342468.21109,-0.941705517325411,0.322546896395665,-0.0867115516281013
"33864",1607342468.2211,-0.773340673304554,0.421264302789769,-0.245531466137492
"33865",1607342468.2311,-0.650633456727087,0.485352310441665,-0.484622319377074
"33866",1607342468.2411,-0.509515126723298,0.47690302534466,-0.731650797242724
"33867",1607342468.2511,-0.346279040081695,0.43534882911319,-0.986148301691926
"33868",1607342468.2611,-0.211122087220907,0.35756031541568,-1.19112936916864
"33869",1607342468.2711,-0.140961891057628,0.24569004282034,-1.30152184823729
"33870",1607342468.2811,-0.115110259132897,0.153676295664485,-1.35779422260131
"33871",1607342468.2911,-0.118850015665978,0.115524984334022,-1.38447501566598
"33872",1607342468.3011,-0.143120735273639,0.109375,-1.33626279417908
"33873",1607342468.31109,-0.173541323368998,0.135311985053496,-1.25364669157751
"33874",1607342468.32109,-0.1875,0.106864033560785,-1.18582602237386
"33875",1607342468.33109,-0.218765230812078,0.0468673845939611,-1.13280107689094
"33876",1607342468.34109,-0.279606484705009,0.0238483788237479,-1.07976851529499
"33877",1607342468.35109,-0.347434768607701,0.0295989074430803,-1.0119402313923
"33878",1607342468.36109,-0.410341743837906,0.0797362397298426,-0.929316512324189
"33879",1607342468.37109,-0.4559725574045,0.146157039098119,-0.847685441767048
"33880",1607342468.38109,-0.495861549218949,0.204729823828424,-0.779645176171576
"33881",1607342468.39109,-0.536943819051156,0.239704704762789,-0.734010885711633
"33882",1607342468.40109,-0.59287305897918,0.259832039319453,-0.712957039319453
"33883",1607342468.41109,-0.634005147041757,0.299260294083513,-0.729872426479122
"33884",1607342468.42109,-0.664428064942902,0.356017097414353,-0.710571935057098
"33885",1607342468.43109,-0.69117531857113,0.40165095571339,-0.669123407144349
"33886",1607342468.44109,-0.709648744864564,0.444023744864564,-0.589803765406309
"33887",1607342468.45109,-0.737223426293434,0.465901573706566,-0.495686015945965
"33888",1607342468.46109,-0.759739694550181,0.450690076362455,-0.396510305449819
"33889",1607342468.4711,-0.818564602047211,0.433456931968526,-0.337685397952789
"33890",1607342468.4811,-0.864199263630666,0.404641912123111,-0.293658824246222
"33891",1607342468.4911,-0.907444614009841,0.385846543960635,-0.257262701931111
"33892",1607342468.5011,-0.921875,0.325001668291437,-0.154688334145719
"33893",1607342468.5111,-0.922242386788292,0.264155452846831,-0.124632613211708
"33894",1607342468.5211,-0.937453940649444,0.203309237402224,-0.109421059350556
"33895",1607342468.5311,-0.967830285024603,0.127299287438492,-0.0487144299507938
"33896",1607342468.5411,-0.983501685699696,0.0807449429009122,-0.00261994290091219
"33897",1607342468.5511,-1.0130514791217,0.121139718682543,0
"33898",1607342468.56109,-1.04347394044193,0.125,0.0417734106628911
"33899",1607342468.57109,-1.0198530307778,0.1114890153889,0.019853030777801
"33900",1607342468.58109,-0.989429923055497,0.0831799230554975,-0.0236676154167537
"33901",1607342468.59109,-0.933638630666388,0.090809092333403,-0.107354554000418
"33902",1607342468.60109,-0.872793554451769,0.106020361387058,-0.198622168322347
"33903",1607342468.61109,-0.800090813081726,0.109375,-0.266177349534619
"33904",1607342468.62109,-0.758363217510387,0.0979316087551935,-0.349910347468839
"33905",1607342468.63109,-0.70588124361712,0.08272031090428,-0.41911875638288
"33906",1607342468.64109,-0.655651591114825,0.0993572725901168,-0.50119681777035
"33907",1607342468.65109,-0.589611549218949,0.13998307046863,-0.623074211405891
"33908",1607342468.66109,-0.503765899173707,0.175828033608764,-0.720820084021911
"33909",1607342468.67109,-0.478125435206462,0.309380657684005,-0.806252611238772
"33910",1607342468.68109,-0.484375,0.507130857878978,-0.915445912540909
"33911",1607342468.69109,-0.398891554869557,0.627943378052177,-0.994395033539133
"33912",1607342468.70109,-0.287451329410672,0.680654202353597,-1.08070287294292
"33913",1607342468.71109,-0.219114848083931,0.664518560104914,-1.20239530383214
"33914",1607342468.7211,-0.172883590975559,0.537301545853353,-1.30947422707332
"33915",1607342468.7311,-0.142460803314455,0.347870221543961,-1.41453178674218
"33916",1607342468.7411,-0.144442848687417,0.195489302625165,-1.47789405043753
"33917",1607342468.7511,-0.226482530812617,0.183097523965369,-1.38380495206926
"33918",1607342468.7611,-0.357731408411475,0.261307852102869,-1.13692147897131
"33919",1607342468.7711,-0.474181739317132,0.276009751526124,-0.83269503052248
"33920",1607342468.7811,-0.604796628020333,0.241490988324861,-0.542944360304529
"33921",1607342468.7911,-0.769681030080772,0.1875,-0.319655716159131
"33922",1607342468.8011,-0.867374094770559,0.239494116008634,-0.198752263073602
"33923",1607342468.81109,-0.869108392521412,0.437244316203607,-0.126280595014275
"33924",1607342468.82109,-0.774666929718689,0.603267744406276,-0.0686072555937239
"33925",1607342468.83109,-0.673705768516584,0.646142692593366,-0.0229734611099506
"33926",1607342468.84109,-0.607029599842165,0.68125660063134,0.0132795998421651
"33927",1607342468.85109,-0.601477816075946,0.72857913794304,-0.0115917241139196
"33928",1607342468.86109,-0.665360835809117,0.675352218921177,-0.107416253713676
"33929",1607342468.87109,-0.754418796276954,0.560290601861523,-0.246526689761623
"33930",1607342468.88109,-0.810426241208829,0.529176241208829,-0.410397517582341
"33931",1607342468.89109,-0.76451379862594,0.484097199656485,-0.50055560068703
"33932",1607342468.90109,-0.703668995450747,0.468885998862687,-0.530978002274626
"33933",1607342468.91109,-0.672973896316412,0.498901103683587,-0.53125
"33934",1607342468.92109,-0.657212894297055,0.514662105702945,-0.501925788594109
"33935",1607342468.93109,-0.642001671154025,0.529873328845975,-0.471503342308049
"33936",1607342468.94109,-0.668294701506395,0.517415149246803,-0.454915149246803
"33937",1607342468.95109,-0.671875,0.529046404614349,-0.466546404614349
"33938",1607342468.96109,-0.658867343445363,0.544257656554637,-0.455742343445363
"33939",1607342468.9711,-0.643655487663347,0.546875,-0.440530487663348
"33940",1607342468.9811,-0.652806066197804,0.546875,-0.4375
"33941",1607342468.9911,-0.668017620058956,0.535107379941044,-0.4375
"33942",1607342469.0011,-0.671875,0.53125,-0.4375
"33943",1607342469.0111,-0.671875,0.53125,-0.426559634890792
"33944",1607342469.0211,-0.671875,0.54177691897036,-0.421875
"33945",1607342469.0311,-0.681988238093028,0.556988238093028,-0.391535285720917
"33946",1607342469.0411,-0.706899328041223,0.5625,-0.394399328041223
"33947",1607342469.0511,-0.71875,0.5625,-0.40625
"33948",1607342469.06109,-0.70987743419831,0.57137256580169,-0.40625
"33949",1607342469.07109,-0.703125,0.578125,-0.40625
"33950",1607342469.08109,-0.703125,0.562033966413667,-0.40625
"33951",1607342469.09109,-0.687861212979296,0.531611212979296,-0.421513787020704
"33952",1607342469.10109,-0.679093261843419,0.515625,-0.444718261843419
"33953",1607342469.11109,-0.6875,0.52242981570457,-0.44632018429543
"33954",1607342469.12109,-0.693891221219014,0.524858778780986,-0.424717557561972
"33955",1607342469.13109,-0.703125,0.515625,-0.394294878490356
"33956",1607342469.14109,-0.703125,0.504496770768052,-0.380564114615974
"33957",1607342469.15109,-0.703125,0.484375,-0.390625
"33958",1607342469.16109,-0.703125,0.484375,-0.390625
"33959",1607342469.17109,-0.703125,0.480051586472623,-0.394948413527377
"33960",1607342469.18109,-0.703125,0.472659967388529,-0.410159967388529
"33961",1607342469.19109,-0.69962855990623,0.48087855990623,-0.428867880187541
"33962",1607342469.20109,-0.681334575122438,0.465667287561219,-0.462373137316343
"33963",1607342469.21109,-0.648242201100202,0.450455733700067,-0.502669266299933
"33964",1607342469.2211,-0.607118869533934,0.4375,-0.524649521864265
"33965",1607342469.2311,-0.591907625977764,0.435657625977764,-0.583652122066708
"33966",1607342469.2411,-0.576696072116612,0.421875,-0.629286783650164
"33967",1607342469.2511,-0.561484541825272,0.423905916349457,-0.672890458174728
"33968",1607342469.2611,-0.54627332706636,0.45372667293364,-0.6875
"33969",1607342469.2711,-0.531061773205209,0.46875,-0.6875
"33970",1607342469.2811,-0.515850219344057,0.46875,-0.6875
"33971",1607342469.2911,-0.530611334517095,0.49872266903419,-0.6875
"33972",1607342469.3011,-0.545822550134621,0.529145100269241,-0.672927449865379
"33973",1607342469.31109,-0.561034079567347,0.545409079567347,-0.671875
"33974",1607342469.32109,-0.5625,0.533129366571502,-0.671875
"33975",1607342469.33109,-0.575831877843283,0.53125,-0.658543122156717
"33976",1607342469.34109,-0.59104337847875,0.54416837847875,-0.630413243042499
"33977",1607342469.35109,-0.606254932339902,0.546875,-0.574980270640392
"33978",1607342469.36109,-0.597283794448055,0.546875,-0.48995276668833
"33979",1607342469.37109,-0.617105354780308,0.523519645219692,-0.410361613049231
"33980",1607342469.38109,-0.658792693753917,0.493096537497389,-0.345568074994778
"33981",1607342469.39109,-0.704426599781822,0.462673933478786,-0.295573400218178
"33982",1607342469.40109,-0.750060928904672,0.432251047396885,-0.302123952603115
"33983",1607342469.41109,-0.815742650813546,0.391804409511872,-0.292452939674582
"33984",1607342469.42109,-0.882190336095444,0.384610084023861,-0.262029831952278
"33985",1607342469.43109,-0.915446424426701,0.418214273280104,-0.213214302293195
"33986",1607342469.44109,-0.895526512777662,0.446282829074113,-0.152368683703549
"33987",1607342469.45109,-0.858261234129471,0.453125,-0.116630617064736
"33988",1607342469.46109,-0.84375,0.437213495729273,-0.109375
"33989",1607342469.4711,-0.84375,0.414332509342432,-0.132002471972704
"33990",1607342469.4811,-0.84375,0.384862866443841,-0.16337904451872
"33991",1607342469.4911,-0.830319114984681,0.352659557492341,-0.192021327522978
"33992",1607342469.5011,-0.806198210431028,0.34375,-0.231353579137943
"33993",1607342469.5111,-0.790986656569877,0.34375,-0.255888343430123
"33994",1607342469.5211,-0.775775229783678,0.332800459567357,-0.260150229783678
"33995",1607342469.5311,-0.770686088480375,0.30237782303925,-0.23987782303925
"33996",1607342469.5411,-0.78125,0.271954715316946,-0.21875
"33997",1607342469.5511,-0.772781607594643,0.25,-0.21875
"33998",1607342469.56109,-0.746179338617584,0.25,-0.214929338617584
"33999",1607342469.57109,-0.727561117494139,0.25340694125293,-0.20653194125293
"34000",1607342469.58109,-0.694144514657754,0.274605485342246,-0.224736990228164
"34001",1607342469.59109,-0.651090021817844,0.322819956364312,-0.25
"34002",1607342469.60109,-0.637247488516061,0.400245782331848,-0.25
"34003",1607342469.61109,-0.628505262608211,0.484523681736951,-0.248247368695894
"34004",1607342469.62109,-0.65625,0.620077432344613,-0.233037195956923
"34005",1607342469.63109,-0.655326722677374,0.740837941258384,-0.21875
